DBN,School Name,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
09X088,P.S. X088 - S. Silverstein Little Sparrow School,2014-15,205,0,56,65,48,36,0,0,0,0,0,0,0,0,0,116,56.6%,89,43.4%,1,0.5%,66,32.2%,137,66.8%,1,0.5%,0,0.0%,32,15.6%,27,13.2%,205,100.0%
09X109,P.S. 109 Sedgwick,2010-11,781,54,131,132,123,116,123,102,0,0,0,0,0,0,0,376,48.1%,405,51.9%,3,0.4%,193,24.7%,576,73.8%,0,0.0%,9,1.2%,141,18.1%,209,26.8%,754,96.5%
09X109,P.S. 109 Sedgwick,2011-12,831,51,121,146,143,118,121,131,0,0,0,0,0,0,0,404,48.6%,427,51.4%,2,0.2%,207,24.9%,615,74.0%,0,0.0%,7,0.8%,141,17.0%,212,25.5%,810,97.5%
09X109,P.S. 109 Sedgwick,2012-13,838,54,125,138,135,140,115,131,0,0,0,0,0,0,0,408,48.7%,430,51.3%,2,0.2%,217,25.9%,612,73.0%,1,0.1%,6,0.7%,170,20.3%,215,25.7%,808,96.4%
09X109,P.S. 109 Sedgwick,2013-14,819,54,114,127,137,137,145,105,0,0,0,0,0,0,0,382,46.6%,437,53.4%,1,0.1%,186,22.7%,626,76.4%,1,0.1%,5,0.6%,183,22.3%,193,23.6%,785,95.8%
09X109,P.S. 109 Sedgwick,2014-15,812,54,110,116,131,135,131,135,0,0,0,0,0,0,0,383,47.2%,429,52.8%,3,0.4%,177,21.8%,626,77.1%,1,0.1%,5,0.6%,165,20.3%,188,23.2%,752,92.6%
09X110,P.S. 110 Theodore Schoenfeld,2010-11,452,36,66,76,66,75,68,65,0,0,0,0,0,0,0,234,51.8%,218,48.2%,2,0.4%,231,51.1%,216,47.8%,1,0.2%,2,0.4%,107,23.7%,43,9.5%,432,95.6%
09X110,P.S. 110 Theodore Schoenfeld,2011-12,450,34,82,76,65,50,78,65,0,0,0,0,0,0,0,214,47.6%,236,52.4%,2,0.4%,231,51.3%,210,46.7%,3,0.7%,4,0.9%,106,23.6%,40,8.9%,428,95.1%
09X110,P.S. 110 Theodore Schoenfeld,2012-13,456,36,75,83,80,69,49,64,0,0,0,0,0,0,0,221,48.5%,235,51.5%,1,0.2%,217,47.6%,228,50.0%,2,0.4%,8,1.8%,102,22.4%,47,10.3%,444,97.4%
09X110,P.S. 110 Theodore Schoenfeld,2013-14,471,36,85,90,69,70,68,53,0,0,0,0,0,0,0,228,48.4%,243,51.6%,2,0.4%,209,44.4%,237,50.3%,5,1.1%,18,3.8%,123,26.1%,53,11.3%,453,96.2%
09X110,P.S. 110 Theodore Schoenfeld,2014-15,481,34,82,88,65,73,70,69,0,0,0,0,0,0,0,236,49.1%,245,50.9%,1,0.2%,203,42.2%,253,52.6%,4,0.8%,20,4.2%,121,25.2%,58,12.1%,455,94.6%
09X114,P.S. X114 - Luis Llorens Torres Schools,2010-11,866,0,112,157,143,139,147,168,0,0,0,0,0,0,0,402,46.4%,464,53.6%,24,2.8%,154,17.8%,674,77.8%,8,0.9%,6,0.7%,144,16.6%,332,38.3%,866,100.0%
09X114,P.S. X114 - Luis Llorens Torres Schools,2011-12,864,0,127,126,148,155,160,148,0,0,0,0,0,0,0,417,48.3%,447,51.7%,29,3.4%,155,17.9%,664,76.9%,10,1.2%,6,0.7%,123,14.2%,321,37.2%,825,95.5%
09X114,P.S. X114 - Luis Llorens Torres Schools,2012-13,838,0,112,139,120,154,169,144,0,0,0,0,0,0,0,384,45.8%,454,54.2%,38,4.5%,152,18.1%,624,74.5%,11,1.3%,13,1.6%,125,14.9%,307,36.6%,822,98.1%
09X114,P.S. X114 - Luis Llorens Torres Schools,2013-14,877,0,136,132,137,138,175,159,0,0,0,0,0,0,0,420,47.9%,457,52.1%,38,4.3%,192,21.9%,629,71.7%,10,1.1%,8,0.9%,161,18.4%,290,33.1%,868,99.0%
09X114,P.S. X114 - Luis Llorens Torres Schools,2014-15,833,0,129,139,138,139,129,159,0,0,0,0,0,0,0,391,46.9%,442,53.1%,41,4.9%,197,23.6%,576,69.1%,9,1.1%,10,1.2%,147,17.6%,256,30.7%,820,98.4%
09X117,I.S. 117 Joseph H. Wade,2010-11,772,0,0,0,0,0,0,0,214,242,316,0,0,0,0,368,47.7%,404,52.3%,14,1.8%,162,21.0%,591,76.6%,2,0.3%,3,0.4%,171,22.2%,269,34.8%,723,93.7%
09X117,I.S. 117 Joseph H. Wade,2011-12,711,0,0,0,0,0,0,0,223,241,247,0,0,0,0,338,47.5%,373,52.5%,9,1.3%,144,20.3%,549,77.2%,6,0.8%,3,0.4%,170,23.9%,227,31.9%,666,93.7%
09X117,I.S. 117 Joseph H. Wade,2012-13,668,0,0,0,0,0,0,0,191,229,248,0,0,0,0,304,45.5%,364,54.5%,11,1.6%,127,19.0%,516,77.2%,7,1.0%,7,1.0%,167,25.0%,218,32.6%,638,95.5%
09X117,I.S. 117 Joseph H. Wade,2013-14,642,0,0,0,0,0,0,0,193,209,240,0,0,0,0,306,47.7%,336,52.3%,9,1.4%,106,16.5%,515,80.2%,8,1.2%,4,0.6%,167,26.0%,231,36.0%,610,95.0%
09X117,I.S. 117 Joseph H. Wade,2014-15,618,0,0,0,0,0,0,0,210,197,211,0,0,0,0,281,45.5%,337,54.5%,10,1.6%,97,15.7%,503,81.4%,3,0.5%,5,0.8%,165,26.7%,233,37.7%,536,86.7%
09X126,P.S. 126 Dr Marjorie H Dunbar,2010-11,741,36,121,87,81,117,91,98,110,0,0,0,0,0,0,370,49.9%,371,50.1%,1,0.1%,199,26.9%,538,72.6%,1,0.1%,2,0.3%,114,15.4%,190,25.6%,713,96.2%
09X126,P.S. 126 Dr Marjorie H Dunbar,2011-12,735,35,133,109,91,87,114,92,74,0,0,0,0,0,0,381,51.8%,354,48.2%,0,0.0%,202,27.5%,529,72.0%,0,0.0%,4,0.5%,120,16.3%,167,22.7%,708,96.3%
09X126,P.S. 126 Dr Marjorie H Dunbar,2012-13,746,34,113,129,113,88,97,102,70,0,0,0,0,0,0,388,52.0%,358,48.0%,1,0.1%,209,28.0%,532,71.3%,2,0.3%,2,0.3%,130,17.4%,182,24.4%,718,96.2%
09X126,P.S. 126 Dr Marjorie H Dunbar,2013-14,704,36,117,115,120,126,93,97,0,0,0,0,0,0,0,374,53.1%,330,46.9%,0,0.0%,188,26.7%,506,71.9%,2,0.3%,8,1.1%,102,14.5%,149,21.2%,684,97.2%
09X126,P.S. 126 Dr Marjorie H Dunbar,2014-15,723,87,112,113,99,98,120,94,0,0,0,0,0,0,0,384,53.1%,339,46.9%,4,0.6%,203,28.1%,506,70.0%,2,0.3%,8,1.1%,88,12.2%,149,20.6%,701,97.0%
09X128,Mott Hall III,2010-11,333,0,0,0,0,0,0,0,107,116,110,0,0,0,0,187,56.2%,146,43.8%,5,1.5%,107,32.1%,217,65.2%,2,0.6%,2,0.6%,39,11.7%,22,6.6%,306,91.9%
09X128,Mott Hall III,2011-12,365,0,0,0,0,0,0,0,132,123,110,0,0,0,0,203,55.6%,162,44.4%,10,2.7%,117,32.1%,235,64.4%,2,0.5%,1,0.3%,45,12.3%,29,7.9%,331,90.7%
09X128,Mott Hall III,2012-13,353,0,0,0,0,0,0,0,124,117,112,0,0,0,0,189,53.5%,164,46.5%,8,2.3%,129,36.5%,214,60.6%,0,0.0%,2,0.6%,46,13.0%,34,9.6%,330,93.5%
09X128,Mott Hall III,2013-14,363,0,0,0,0,0,0,0,135,111,117,0,0,0,0,195,53.7%,168,46.3%,10,2.8%,146,40.2%,206,56.7%,0,0.0%,1,0.3%,46,12.7%,25,6.9%,344,94.8%
09X128,Mott Hall III,2014-15,359,0,0,0,0,0,0,0,120,130,109,0,0,0,0,190,52.9%,169,47.1%,6,1.7%,150,41.8%,202,56.3%,0,0.0%,1,0.3%,50,13.9%,29,8.1%,336,93.6%
09X132,P.S. 132 Garret A. Morgan,2010-11,552,0,93,93,98,82,99,87,0,0,0,0,0,0,0,263,47.6%,289,52.4%,1,0.2%,245,44.4%,298,54.0%,4,0.7%,4,0.7%,156,28.3%,132,23.9%,552,100.0%
09X132,P.S. 132 Garret A. Morgan,2011-12,539,0,100,80,87,97,78,97,0,0,0,0,0,0,0,242,44.9%,297,55.1%,1,0.2%,238,44.2%,292,54.2%,4,0.7%,4,0.7%,151,28.0%,120,22.3%,539,100.0%
09X132,P.S. 132 Garret A. Morgan,2012-13,504,0,93,83,77,92,84,75,0,0,0,0,0,0,0,238,47.2%,266,52.8%,2,0.4%,224,44.4%,271,53.8%,4,0.8%,3,0.6%,129,25.6%,92,18.3%,504,100.0%
09X132,P.S. 132 Garret A. Morgan,2013-14,492,0,82,88,85,72,82,83,0,0,0,0,0,0,0,239,48.6%,253,51.4%,1,0.2%,215,43.7%,270,54.9%,2,0.4%,4,0.8%,138,28.0%,65,13.2%,492,100.0%
09X132,P.S. 132 Garret A. Morgan,2014-15,487,0,99,78,90,82,69,69,0,0,0,0,0,0,0,231,47.4%,256,52.6%,2,0.4%,206,42.3%,275,56.5%,2,0.4%,2,0.4%,115,23.6%,61,12.5%,487,100.0%
09X145,J.H.S. 145 Arturo Toscanini,2010-11,471,0,0,0,0,0,0,79,135,128,129,0,0,0,0,216,45.9%,255,54.1%,14,3.0%,157,33.3%,293,62.2%,5,1.1%,2,0.4%,118,25.1%,143,30.4%,471,100.0%
09X145,J.H.S. 145 Arturo Toscanini,2011-12,485,0,0,0,0,0,0,70,145,142,128,0,0,0,0,231,47.6%,254,52.4%,11,2.3%,143,29.5%,325,67.0%,2,0.4%,4,0.8%,110,22.7%,178,36.7%,485,100.0%
09X145,J.H.S. 145 Arturo Toscanini,2012-13,451,0,0,0,0,0,0,7,135,165,144,0,0,0,0,209,46.3%,242,53.7%,8,1.8%,147,32.6%,291,64.5%,2,0.4%,3,0.7%,89,19.7%,157,34.8%,451,100.0%
09X145,J.H.S. 145 Arturo Toscanini,2013-14,418,0,0,0,0,0,0,0,103,136,179,0,0,0,0,177,42.3%,241,57.7%,4,1.0%,139,33.3%,271,64.8%,1,0.2%,3,0.7%,88,21.1%,140,33.5%,418,100.0%
09X145,J.H.S. 145 Arturo Toscanini,2014-15,368,0,0,0,0,0,0,0,116,108,144,0,0,0,0,162,44.0%,206,56.0%,2,0.5%,114,31.0%,249,67.7%,0,0.0%,3,0.8%,81,22.0%,121,32.9%,368,100.0%
09X163,P.S. 163 Arthur A. Schomburg,2010-11,687,0,102,116,136,112,111,110,0,0,0,0,0,0,0,364,53.0%,323,47.0%,5,0.7%,208,30.3%,463,67.4%,8,1.2%,3,0.4%,110,16.0%,252,36.7%,685,99.7%
09X163,P.S. 163 Arthur A. Schomburg,2011-12,667,0,91,118,130,114,110,104,0,0,0,0,0,0,0,331,49.6%,336,50.4%,2,0.3%,205,30.7%,439,65.8%,18,2.7%,3,0.4%,118,17.7%,257,38.5%,662,99.3%
09X163,P.S. 163 Arthur A. Schomburg,2012-13,586,0,74,92,120,104,99,97,0,0,0,0,0,0,0,287,49.0%,299,51.0%,4,0.7%,192,32.8%,383,65.4%,4,0.7%,3,0.5%,112,19.1%,228,38.9%,583,99.5%
09X163,P.S. 163 Arthur A. Schomburg,2013-14,589,0,108,83,106,103,93,96,0,0,0,0,0,0,0,279,47.4%,310,52.6%,7,1.2%,189,32.1%,387,65.7%,3,0.5%,3,0.5%,116,19.7%,230,39.0%,583,99.0%
09X163,P.S. 163 Arthur A. Schomburg,2014-15,566,18,77,107,77,96,97,94,0,0,0,0,0,0,0,288,50.9%,278,49.1%,8,1.4%,204,36.0%,348,61.5%,4,0.7%,2,0.4%,101,17.8%,185,32.7%,559,98.8%
09X170,P.S. 170,2010-11,232,0,80,77,75,0,0,0,0,0,0,0,0,0,0,116,50.0%,116,50.0%,5,2.2%,56,24.1%,167,72.0%,3,1.3%,1,0.4%,38,16.4%,65,28.0%,232,100.0%
09X170,P.S. 170,2011-12,259,0,95,91,73,0,0,0,0,0,0,0,0,0,0,128,49.4%,131,50.6%,4,1.5%,58,22.4%,190,73.4%,3,1.2%,4,1.5%,33,12.7%,76,29.3%,259,100.0%
09X170,P.S. 170,2012-13,277,0,91,96,90,0,0,0,0,0,0,0,0,0,0,133,48.0%,144,52.0%,5,1.8%,61,22.0%,197,71.1%,5,1.8%,9,3.2%,38,13.7%,58,20.9%,277,100.0%
09X170,P.S. 170,2013-14,283,0,93,100,90,0,0,0,0,0,0,0,0,0,0,143,50.5%,140,49.5%,5,1.8%,63,22.3%,205,72.4%,3,1.1%,7,2.5%,50,17.7%,62,21.9%,283,100.0%
09X170,P.S. 170,2014-15,275,0,95,93,87,0,0,0,0,0,0,0,0,0,0,125,45.5%,150,54.5%,10,3.6%,54,19.6%,201,73.1%,7,2.5%,3,1.1%,47,17.1%,66,24.0%,275,100.0%
09X199,P.S. 199X - The Shakespeare School,2010-11,741,50,100,119,100,131,128,113,0,0,0,0,0,0,0,337,45.5%,404,54.5%,1,0.1%,270,36.4%,468,63.2%,1,0.1%,1,0.1%,112,15.1%,208,28.1%,736,99.3%
09X199,P.S. 199X - The Shakespeare School,2011-12,731,52,119,115,109,107,122,107,0,0,0,0,0,0,0,356,48.7%,375,51.3%,1,0.1%,250,34.2%,477,65.3%,1,0.1%,2,0.3%,113,15.5%,172,23.5%,720,98.5%
09X199,P.S. 199X - The Shakespeare School,2012-13,760,51,116,126,132,116,97,122,0,0,0,0,0,0,0,367,48.3%,393,51.7%,2,0.3%,255,33.6%,500,65.8%,1,0.1%,2,0.3%,127,16.7%,174,22.9%,738,97.1%
09X199,P.S. 199X - The Shakespeare School,2013-14,797,49,122,131,129,145,123,98,0,0,0,0,0,0,0,372,46.7%,425,53.3%,2,0.3%,246,30.9%,543,68.1%,1,0.1%,5,0.6%,154,19.3%,208,26.1%,781,98.0%
09X199,P.S. 199X - The Shakespeare School,2014-15,798,52,116,110,124,144,131,121,0,0,0,0,0,0,0,377,47.2%,421,52.8%,2,0.3%,238,29.8%,547,68.5%,4,0.5%,7,0.9%,146,18.3%,214,26.8%,765,95.9%
09X204,P.S. 204 Morris Heights,2010-11,403,36,59,71,60,76,49,52,0,0,0,0,0,0,0,207,51.4%,196,48.6%,0,0.0%,140,34.7%,260,64.5%,0,0.0%,3,0.7%,66,16.4%,59,14.6%,403,100.0%
09X204,P.S. 204 Morris Heights,2011-12,456,36,69,85,73,64,76,53,0,0,0,0,0,0,0,238,52.2%,218,47.8%,0,0.0%,148,32.5%,300,65.8%,7,1.5%,1,0.2%,69,15.1%,64,14.0%,456,100.0%
09X204,P.S. 204 Morris Heights,2012-13,527,36,88,78,83,87,75,80,0,0,0,0,0,0,0,272,51.6%,255,48.4%,1,0.2%,157,29.8%,356,67.6%,10,1.9%,3,0.6%,86,16.3%,66,12.5%,527,100.0%
09X204,P.S. 204 Morris Heights,2013-14,583,36,93,109,81,103,87,74,0,0,0,0,0,0,0,300,51.5%,283,48.5%,2,0.3%,171,29.3%,400,68.6%,6,1.0%,4,0.7%,116,19.9%,61,10.5%,583,100.0%
09X204,P.S. 204 Morris Heights,2014-15,591,36,81,92,114,85,98,85,0,0,0,0,0,0,0,304,51.4%,287,48.6%,7,1.2%,165,27.9%,408,69.0%,6,1.0%,5,0.8%,108,18.3%,51,8.6%,591,100.0%
09X215,Kappa,2010-11,427,0,0,0,0,0,0,80,114,122,111,0,0,0,0,244,57.1%,183,42.9%,27,6.3%,185,43.3%,210,49.2%,4,0.9%,1,0.2%,35,8.2%,57,13.3%,397,93.0%
09X215,Kappa,2011-12,405,0,0,0,0,0,0,72,103,116,114,0,0,0,0,234,57.8%,171,42.2%,30,7.4%,178,44.0%,190,46.9%,3,0.7%,4,1.0%,37,9.1%,45,11.1%,383,94.6%
09X215,Kappa,2012-13,385,0,0,0,0,0,0,49,117,107,112,0,0,0,0,228,59.2%,157,40.8%,29,7.5%,188,48.8%,163,42.3%,2,0.5%,3,0.8%,37,9.6%,37,9.6%,362,94.0%
09X215,Kappa,2013-14,335,0,0,0,0,0,0,27,95,106,107,0,0,0,0,207,61.8%,128,38.2%,24,7.2%,166,49.6%,140,41.8%,2,0.6%,3,0.9%,43,12.8%,35,10.4%,305,91.0%
09X215,Kappa,2014-15,299,0,0,0,0,0,0,38,59,101,101,0,0,0,0,170,56.9%,129,43.1%,14,4.7%,139,46.5%,141,47.2%,2,0.7%,3,1.0%,39,13.0%,37,12.4%,299,100.0%
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2010-11,814,0,129,104,81,83,83,64,105,83,82,0,0,0,0,430,52.8%,384,47.2%,31,3.8%,68,8.4%,713,87.6%,0,0.0%,2,0.2%,109,13.4%,300,36.9%,814,100.0%
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2011-12,863,0,124,125,96,82,83,79,82,112,80,0,0,0,0,460,53.3%,403,46.7%,34,3.9%,70,8.1%,755,87.5%,2,0.2%,2,0.2%,110,12.7%,318,36.8%,863,100.0%
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2012-13,903,0,115,123,120,93,84,83,86,94,105,0,0,0,0,479,53.0%,424,47.0%,36,4.0%,74,8.2%,789,87.4%,2,0.2%,2,0.2%,127,14.1%,327,36.2%,903,100.0%
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2013-14,930,0,116,118,125,114,98,84,92,94,89,0,0,0,0,490,52.7%,440,47.3%,38,4.1%,67,7.2%,806,86.7%,15,1.6%,4,0.4%,145,15.6%,325,34.9%,930,100.0%
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2014-15,960,0,122,123,116,120,118,99,85,89,88,0,0,0,0,498,51.9%,462,48.1%,36,3.8%,61,6.4%,847,88.2%,8,0.8%,8,0.8%,166,17.3%,307,32.0%,960,100.0%
09X219,I.S. 219 New Venture School,2010-11,442,0,0,0,0,0,0,0,124,182,136,0,0,0,0,188,42.5%,254,57.5%,1,0.2%,201,45.5%,237,53.6%,1,0.2%,2,0.5%,121,27.4%,80,18.1%,434,98.2%
09X219,I.S. 219 New Venture School,2011-12,441,0,0,0,0,0,0,0,131,130,180,0,0,0,0,210,47.6%,231,52.4%,2,0.5%,188,42.6%,251,56.9%,0,0.0%,0,0.0%,123,27.9%,89,20.2%,424,96.1%
09X219,I.S. 219 New Venture School,2012-13,401,0,0,0,0,0,0,0,117,138,146,0,0,0,0,182,45.4%,219,54.6%,3,0.7%,163,40.6%,234,58.4%,1,0.2%,0,0.0%,100,24.9%,99,24.7%,381,95.0%
09X219,I.S. 219 New Venture School,2013-14,373,0,0,0,0,0,0,0,108,124,141,0,0,0,0,183,49.1%,190,50.9%,3,0.8%,147,39.4%,222,59.5%,1,0.3%,0,0.0%,93,24.9%,118,31.6%,350,93.8%
09X219,I.S. 219 New Venture School,2014-15,326,0,0,0,0,0,0,0,96,97,133,0,0,0,0,148,45.4%,178,54.6%,2,0.6%,114,35.0%,207,63.5%,1,0.3%,2,0.6%,87,26.7%,116,35.6%,291,89.3%
09X227,Bronx Expeditionary Learning High School,2010-11,360,0,0,0,0,0,0,0,0,0,0,103,86,86,85,178,49.4%,182,50.6%,4,1.1%,100,27.8%,249,69.2%,3,0.8%,4,1.1%,76,21.1%,106,29.4%,360,100.0%
09X227,Bronx Collegiate Academy,2011-12,355,0,0,0,0,0,0,0,0,0,0,111,99,70,75,177,49.9%,178,50.1%,4,1.1%,99,27.9%,246,69.3%,3,0.8%,3,0.8%,76,21.4%,106,29.9%,355,100.0%
09X227,Bronx Collegiate Academy,2012-13,323,0,0,0,0,0,0,0,0,0,0,98,85,62,78,151,46.7%,172,53.3%,3,0.9%,86,26.6%,232,71.8%,1,0.3%,1,0.3%,78,24.1%,107,33.1%,323,100.0%
09X227,Bronx Collegiate Academy,2013-14,356,0,0,0,0,0,0,0,0,0,0,119,89,74,74,159,44.7%,197,55.3%,4,1.1%,106,29.8%,244,68.5%,1,0.3%,1,0.3%,88,24.7%,108,30.3%,356,100.0%
09X227,Bronx Collegiate Academy,2014-15,382,0,0,0,0,0,0,0,0,0,0,140,95,73,74,164,42.9%,218,57.1%,5,1.3%,109,28.5%,264,69.1%,3,0.8%,1,0.3%,89,23.3%,103,27.0%,382,100.0%
09X229,I.S. 229 Roland Patterson,2010-11,232,0,0,0,0,0,0,0,88,78,66,0,0,0,0,118,50.9%,114,49.1%,0,0.0%,110,47.4%,122,52.6%,0,0.0%,0,0.0%,71,30.6%,49,21.1%,232,100.0%
09X229,I.S. 229 Roland Patterson,2011-12,220,0,0,0,0,0,0,0,59,82,79,0,0,0,0,105,47.7%,115,52.3%,0,0.0%,107,48.6%,110,50.0%,2,0.9%,1,0.5%,76,34.5%,45,20.5%,219,99.5%
09X229,I.S. 229 Roland Patterson,2012-13,220,0,0,0,0,0,0,0,68,68,84,0,0,0,0,119,54.1%,101,45.9%,0,0.0%,92,41.8%,126,57.3%,2,0.9%,0,0.0%,64,29.1%,49,22.3%,210,95.5%
09X229,I.S. 229 Roland Patterson,2013-14,208,0,0,0,0,0,0,0,72,69,67,0,0,0,0,111,53.4%,97,46.6%,0,0.0%,94,45.2%,114,54.8%,0,0.0%,0,0.0%,75,36.1%,46,22.1%,189,90.9%
09X229,I.S. 229 Roland Patterson,2014-15,248,0,0,0,0,0,0,0,85,88,75,0,0,0,0,120,48.4%,128,51.6%,0,0.0%,100,40.3%,146,58.9%,0,0.0%,2,0.8%,84,33.9%,41,16.5%,194,78.2%
09X230,P.S. 230 Dr Roland N. Patterson,2010-11,470,0,68,79,71,70,70,112,0,0,0,0,0,0,0,244,51.9%,226,48.1%,0,0.0%,215,45.7%,245,52.1%,9,1.9%,1,0.2%,102,21.7%,102,21.7%,470,100.0%
09X230,P.S. 230 Dr Roland N. Patterson,2011-12,426,0,99,72,61,72,62,60,0,0,0,0,0,0,0,226,53.1%,200,46.9%,0,0.0%,205,48.1%,209,49.1%,10,2.3%,2,0.5%,81,19.0%,86,20.2%,426,100.0%
09X230,P.S. 230 Dr Roland N. Patterson,2012-13,447,0,96,95,57,79,61,59,0,0,0,0,0,0,0,231,51.7%,216,48.3%,0,0.0%,188,42.1%,248,55.5%,10,2.2%,1,0.2%,86,19.2%,81,18.1%,434,97.1%
09X230,P.S. 230 Dr Roland N. Patterson,2013-14,199,0,0,0,0,58,75,66,0,0,0,0,0,0,0,106,53.3%,93,46.7%,1,0.5%,80,40.2%,112,56.3%,5,2.5%,1,0.5%,63,31.7%,36,18.1%,191,96.0%
09X230,P.S. 230 Dr Roland N. Patterson,2014-15,156,0,0,0,0,0,80,76,0,0,0,0,0,0,0,91,58.3%,65,41.7%,2,1.3%,67,42.9%,81,51.9%,4,2.6%,2,1.3%,51,32.7%,21,13.5%,146,93.6%
09X231,Eagle Academy for Young Men,2010-11,454,0,0,0,0,0,0,0,0,0,0,126,101,110,117,0,0.0%,454,100.0%,4,0.9%,289,63.7%,146,32.2%,11,2.4%,4,0.9%,112,24.7%,24,5.3%,454,100.0%
09X231,Eagle Academy for Young Men,2011-12,550,0,0,0,0,0,0,0,93,0,0,141,129,96,91,0,0.0%,550,100.0%,4,0.7%,347,63.1%,186,33.8%,10,1.8%,3,0.5%,148,26.9%,24,4.4%,399,72.5%
09X231,Eagle Academy for Young Men,2012-13,592,0,0,0,0,0,0,0,90,89,0,126,130,96,61,0,0.0%,592,100.0%,2,0.3%,354,59.8%,208,35.1%,23,3.9%,5,0.8%,173,29.2%,19,3.2%,472,79.7%
09X231,Eagle Academy for Young Men,2013-14,645,0,0,0,0,0,0,0,98,75,85,102,111,92,82,0,0.0%,645,100.0%,0,0.0%,394,61.1%,237,36.7%,11,1.7%,3,0.5%,178,27.6%,25,3.9%,521,80.8%
09X231,Eagle Academy for Young Men,2014-15,608,0,0,0,0,0,0,0,76,93,70,122,96,87,64,0,0.0%,608,100.0%,1,0.2%,364,59.9%,231,38.0%,10,1.6%,2,0.3%,161,26.5%,21,3.5%,493,81.1%
09X232,I.S. 232,2010-11,431,0,0,0,0,0,0,0,126,157,148,0,0,0,0,205,47.6%,226,52.4%,1,0.2%,96,22.3%,333,77.3%,0,0.0%,1,0.2%,90,20.9%,193,44.8%,430,99.8%
09X232,I.S. 232,2011-12,492,0,0,0,0,0,0,0,168,166,158,0,0,0,0,231,47.0%,261,53.0%,1,0.2%,92,18.7%,399,81.1%,0,0.0%,0,0.0%,97,19.7%,225,45.7%,475,96.5%
09X232,I.S. 232,2012-13,516,0,0,0,0,0,0,0,162,179,175,0,0,0,0,225,43.6%,291,56.4%,1,0.2%,108,20.9%,405,78.5%,0,0.0%,2,0.4%,96,18.6%,218,42.2%,501,97.1%
09X232,I.S. 232,2013-14,542,0,0,0,0,0,0,0,164,199,179,0,0,0,0,240,44.3%,302,55.7%,0,0.0%,109,20.1%,427,78.8%,1,0.2%,5,0.9%,117,21.6%,207,38.2%,519,95.8%
09X232,I.S. 232,2014-15,549,0,0,0,0,0,0,0,159,196,194,0,0,0,0,252,45.9%,297,54.1%,0,0.0%,115,20.9%,428,78.0%,1,0.2%,5,0.9%,110,20.0%,202,36.8%,508,92.5%
09X236,P.S. 236 Langston Hughes,2010-11,400,26,129,120,125,0,0,0,0,0,0,0,0,0,0,178,44.5%,222,55.5%,1,0.2%,132,33.0%,259,64.7%,3,0.7%,5,1.3%,109,27.3%,55,13.8%,389,97.3%
09X236,P.S. 236 Langston Hughes,2011-12,407,30,149,119,109,0,0,0,0,0,0,0,0,0,0,189,46.4%,218,53.6%,2,0.5%,113,27.8%,285,70.0%,4,1.0%,3,0.7%,85,20.9%,61,15.0%,396,97.3%
09X236,P.S. 236 Langston Hughes,2012-13,402,33,52,132,95,90,0,0,0,0,0,0,0,0,0,199,49.5%,203,50.5%,2,0.5%,113,28.1%,280,69.7%,3,0.7%,4,1.0%,92,22.9%,46,11.4%,390,97.0%
09X236,P.S. 236 Langston Hughes,2013-14,405,24,50,50,121,84,76,0,0,0,0,0,0,0,0,204,50.4%,201,49.6%,2,0.5%,114,28.1%,283,69.9%,2,0.5%,4,1.0%,100,24.7%,38,9.4%,395,97.5%
09X236,P.S. 236 Langston Hughes,2014-15,388,12,47,51,46,91,72,69,0,0,0,0,0,0,0,197,50.8%,191,49.2%,1,0.3%,109,28.1%,271,69.8%,2,0.5%,5,1.3%,101,26.0%,33,8.5%,379,97.7%
09X241,Urban Assembly School for Applied Math and Science,2010-11,589,0,0,0,0,0,0,0,86,83,84,96,84,87,69,286,48.6%,303,51.4%,18,3.1%,184,31.2%,374,63.5%,3,0.5%,10,1.7%,95,16.1%,51,8.7%,589,100.0%
09X241,Urban Assembly School for Applied Math and Science,2011-12,606,0,0,0,0,0,0,0,85,88,85,93,87,81,87,307,50.7%,299,49.3%,16,2.6%,194,32.0%,384,63.4%,3,0.5%,9,1.5%,103,17.0%,57,9.4%,606,100.0%
09X241,Urban Assembly School for Applied Math and Science,2012-13,601,0,0,0,0,0,0,0,86,89,87,83,94,83,79,308,51.2%,293,48.8%,11,1.8%,197,32.8%,384,63.9%,1,0.2%,8,1.3%,107,17.8%,58,9.7%,557,92.7%
09X241,Urban Assembly School for Applied Math and Science,2013-14,605,0,0,0,0,0,0,0,85,88,85,96,80,90,81,300,49.6%,305,50.4%,9,1.5%,201,33.2%,385,63.6%,2,0.3%,8,1.3%,119,19.7%,64,10.6%,563,93.1%
